Statistics	Correct_Neighbors
Mismatch *KL-Cond^2	6
Mismatch *Markov^2	6
Mismatch *RRE-k-r^2	6
Mismatch *EMD^2	6
Mismatch *Jaccard^2	6
Mismatch *Lengthd^2	6
Mismatch *AFd^2	6
Mismatch *Mismatch^2	6
Mismatch *Canberra^2	6
Mismatch *Kulczynski1^2	6
Mismatch *Jensen-Shannon^2	6
Canberra *Kulczynski1	6
Canberra *Jensen-Shannon	6
Canberra *Manhattan^2	6
Canberra *Euclidean^2	6
Canberra *Chi-Squared^2	6
Canberra *Harmonic-Mean^2	6
Canberra *Jefferey-Div^2	6
Canberra *K-Div^2	6
Canberra *Squared-Chord^2	6
Canberra *KL-Cond^2	6
Canberra *Markov^2	6
Canberra *RRE-k-r^2	6
Canberra *EMD^2	6
Canberra *Jaccard^2	6
Canberra *Lengthd^2	6
Canberra *AFd^2	6
Canberra *Mismatch^2	6
Canberra *Canberra^2	6
Canberra *Kulczynski1^2	6
Canberra *Jensen-Shannon^2	6
Kulczynski1 *Jensen-Shannon	6
Kulczynski1 *Manhattan^2	6
Kulczynski1 *Euclidean^2	6
Kulczynski1 *Chi-Squared^2	6
Kulczynski1 *Harmonic-Mean^2	6
Kulczynski1 *Jefferey-Div^2	6
Kulczynski1 *K-Div^2	6
Kulczynski1 *Squared-Chord^2	6
Kulczynski1 *KL-Cond^2	6
Kulczynski1 *Markov^2	6
Kulczynski1 *RRE-k-r^2	6
Kulczynski1 *Jaccard^2	6
Kulczynski1 *AFd^2	6
Kulczynski1 *Mismatch^2	6
Kulczynski1 *Canberra^2	6
Kulczynski1 *Kulczynski1^2	6
Kulczynski1 *Jensen-Shannon^2	6
Similarity-ratio *Jaccard^2	6
Similarity-ratio *Mismatch^2	6
Jensen-Shannon *Manhattan^2	6
Jensen-Shannon *Euclidean^2	6
Jensen-Shannon *Chi-Squared^2	6
Jensen-Shannon *Harmonic-Mean^2	6
Jensen-Shannon *Jefferey-Div^2	6
Jensen-Shannon *K-Div^2	6
Jensen-Shannon *Squared-Chord^2	6
Jensen-Shannon *KL-Cond^2	6
Jensen-Shannon *Markov^2	6
Jensen-Shannon *RRE-k-r^2	6
Jensen-Shannon *EMD^2	6
Jensen-Shannon *Jaccard^2	6
Jensen-Shannon *Lengthd^2	6
Jensen-Shannon *AFd^2	6
Jensen-Shannon *Mismatch^2	6
Jensen-Shannon *Canberra^2	6
Jensen-Shannon *Kulczynski1^2	6
Jensen-Shannon *Jensen-Shannon^2	6
Manhattan^2 *Euclidean^2	6
Manhattan^2 *Chi-Squared^2	6
Manhattan^2 *Harmonic-Mean^2	6
Manhattan^2 *Jefferey-Div^2	6
Manhattan^2 *K-Div^2	6
Manhattan^2 *Squared-Chord^2	6
Manhattan^2 *KL-Cond^2	6
Manhattan^2 *Markov^2	6
Manhattan^2 *RRE-k-r^2	6
Manhattan^2 *Jaccard^2	6
Manhattan^2 *AFd^2	6
Manhattan^2 *Mismatch^2	6
Manhattan^2 *Canberra^2	6
Manhattan^2 *Kulczynski1^2	6
Manhattan^2 *Jensen-Shannon^2	6
Euclidean^2 *Chi-Squared^2	6
Euclidean^2 *Harmonic-Mean^2	6
Euclidean^2 *Jefferey-Div^2	6
Euclidean^2 *K-Div^2	6
Euclidean^2 *Squared-Chord^2	6
Euclidean^2 *KL-Cond^2	6
Euclidean^2 *Markov^2	6
Euclidean^2 *RRE-k-r^2	6
Euclidean^2 *Jaccard^2	6
Euclidean^2 *AFd^2	6
Euclidean^2 *Mismatch^2	6
Euclidean^2 *Canberra^2	6
Euclidean^2 *Kulczynski1^2	6
Euclidean^2 *Jensen-Shannon^2	6
Chi-Squared^2 *Harmonic-Mean^2	6
Chi-Squared^2 *Jefferey-Div^2	6
Chi-Squared^2 *K-Div^2	6
Chi-Squared^2 *Squared-Chord^2	6
Chi-Squared^2 *KL-Cond^2	6
Chi-Squared^2 *Markov^2	6
Chi-Squared^2 *RRE-k-r^2	6
Chi-Squared^2 *Jaccard^2	6
Chi-Squared^2 *AFd^2	6
Chi-Squared^2 *Mismatch^2	6
Chi-Squared^2 *Canberra^2	6
Chi-Squared^2 *Kulczynski1^2	6
Chi-Squared^2 *Jensen-Shannon^2	6
Harmonic-Mean^2 *Jefferey-Div^2	6
Harmonic-Mean^2 *K-Div^2	6
Harmonic-Mean^2 *Squared-Chord^2	6
Harmonic-Mean^2 *KL-Cond^2	6
Harmonic-Mean^2 *Markov^2	6
Harmonic-Mean^2 *RRE-k-r^2	6
Harmonic-Mean^2 *EMD^2	6
Harmonic-Mean^2 *Jaccard^2	6
Harmonic-Mean^2 *Lengthd^2	6
Harmonic-Mean^2 *AFd^2	6
Harmonic-Mean^2 *Mismatch^2	6
Harmonic-Mean^2 *Canberra^2	6
Harmonic-Mean^2 *Kulczynski1^2	6
Harmonic-Mean^2 *Jensen-Shannon^2	6
Jefferey-Div^2 *K-Div^2	6
Jefferey-Div^2 *Squared-Chord^2	6
Jefferey-Div^2 *KL-Cond^2	6
Jefferey-Div^2 *Markov^2	6
Jefferey-Div^2 *RRE-k-r^2	6
Jefferey-Div^2 *EMD^2	6
Jefferey-Div^2 *Jaccard^2	6
Jefferey-Div^2 *Lengthd^2	6
Jefferey-Div^2 *AFd^2	6
Jefferey-Div^2 *Mismatch^2	6
Jefferey-Div^2 *Canberra^2	6
Jefferey-Div^2 *Kulczynski1^2	6
Jefferey-Div^2 *Jensen-Shannon^2	6
K-Div^2 *Squared-Chord^2	6
K-Div^2 *KL-Cond^2	6
K-Div^2 *Markov^2	6
K-Div^2 *RRE-k-r^2	6
K-Div^2 *EMD^2	6
K-Div^2 *Jaccard^2	6
K-Div^2 *Lengthd^2	6
K-Div^2 *AFd^2	6
K-Div^2 *Mismatch^2	6
K-Div^2 *Canberra^2	6
K-Div^2 *Kulczynski1^2	6
K-Div^2 *Jensen-Shannon^2	6
Squared-Chord^2 *KL-Cond^2	6
Squared-Chord^2 *Markov^2	6
Squared-Chord^2 *RRE-k-r^2	6
Squared-Chord^2 *Jaccard^2	6
Squared-Chord^2 *AFd^2	6
Squared-Chord^2 *Mismatch^2	6
Squared-Chord^2 *Canberra^2	6
Squared-Chord^2 *Kulczynski1^2	6
Squared-Chord^2 *Jensen-Shannon^2	6
KL-Cond^2 *Markov^2	6
KL-Cond^2 *RRE-k-r^2	6
KL-Cond^2 *EMD^2	6
KL-Cond^2 *Jaccard^2	6
KL-Cond^2 *Lengthd^2	6
KL-Cond^2 *AFd^2	6
KL-Cond^2 *Mismatch^2	6
KL-Cond^2 *Canberra^2	6
KL-Cond^2 *Kulczynski1^2	6
KL-Cond^2 *Jensen-Shannon^2	6
