Statistics	Correct_Neighbors
Jefferey-Div *Markov	7
Jefferey-Div *Intersection	7
Jefferey-Div *RRE-k-r	7
Jefferey-Div *D2z	7
Jefferey-Div *SimMM	7
Jefferey-Div *EuclideanZ	7
Jefferey-Div *EMD	7
Jefferey-Div *Spearman	7
Jefferey-Div *Jaccard	7
Jefferey-Div *Lengthd	7
Jefferey-Div *D2s	7
Jefferey-Div *AFd	7
Jefferey-Div *Mismatch	7
Jefferey-Div *Canberra	7
Jefferey-Div *Kulczynski1	7
Jefferey-Div *Kulczynski2	7
Jefferey-Div *Similarity-ratio	7
Jefferey-Div *Jensen-Shannon	7
Jefferey-Div *D2-star	7
Jefferey-Div *N2r	7
Jefferey-Div *N2rc	7
Jefferey-Div *N2rrc	7
Jefferey-Div *Hellinger^2	7
Jefferey-Div *Manhattan^2	7
Jefferey-Div *Euclidean^2	7
Jefferey-Div *Chi-Squared^2	7
Jefferey-Div *Normalized-Vectors^2	7
Jefferey-Div *Harmonic-Mean^2	7
Jefferey-Div *Jefferey-Div^2	7
Jefferey-Div *K-Div^2	7
Jefferey-Div *Pearson-Coeff^2	7
Jefferey-Div *Squared-Chord^2	7
Jefferey-Div *KL-Cond^2	7
Jefferey-Div *Markov^2	7
Jefferey-Div *Intersection^2	7
Jefferey-Div *RRE-k-r^2	7
Jefferey-Div *D2z^2	7
Jefferey-Div *SimMM^2	7
Jefferey-Div *EuclideanZ^2	7
Jefferey-Div *EMD^2	7
Jefferey-Div *Spearman^2	7
Jefferey-Div *Jaccard^2	7
Jefferey-Div *Lengthd^2	7
Jefferey-Div *D2s^2	7
Jefferey-Div *AFd^2	7
Jefferey-Div *Mismatch^2	7
Jefferey-Div *Canberra^2	7
Jefferey-Div *Kulczynski1^2	7
Jefferey-Div *Kulczynski2^2	7
Jefferey-Div *Similarity-ratio^2	7
Jefferey-Div *Jensen-Shannon^2	7
Jefferey-Div *D2-star^2	7
Jefferey-Div *N2r^2	7
Jefferey-Div *N2rc^2	7
